A,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
A,lf-git,is an extensive terminal file manager that everyone likes.
,arandr,is a UI for screen adjustment.
,bc,is used for a dropdown calculator.
,calcurse,is a lightweight terminal-based calendar.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controler.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,maim,can take quick screenshots at your request.
,abook,is an offline addressbook usable by neomutt.
,socat,is a socket utility.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,lynx,is a terminal browser.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs-git,enables the mounting of cell phones.
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator.
,i3-gaps,manages windows in a sane way.
,i3blocks,adds statusbar to i3.
,i3lock,adds lockscreen functionality to i3.
,alacritty, is gpu-accelerated terminal emulator.
,arc-gtk-theme, is eye-pleasing theme for gtk applications.
,arc-icon-theme, is eye-pleasing icon pack for gtk applications.
,chromium, is decent web browser.
,clang,
,cmake,
,cups,
,discord,
,docker,
,evince,
,firefox,
,gcc,
,lxappearance,
A,napi-bash,
,network-manager-applet,
,noto-fonts,
,noto-fonts-extra,
,pavucontrol,
,pcmanfm,
,picom,
,qnapi,
,reflector,
A,redshift-qt-git,
,redshift,
,ripgrep,
,sane,
,simple-scan,
,speedtest-cli,
,spotify,
,stig,
,tmux,
A,ttf-meslo-nerd-font-powerlevel10k,
,ttf-hack,
,ttf-inconsolata,
,ttf-joypixels,
,ttf-font-awesome,
A,zsh-theme-powerlevel10k-git,
A,spotify,
,python-pynvim,
,python-black,
,python-pip,
,nodejs,
,flake8,
,npm,
,ctags,
,udiskie,
A,qt5ct,
A,qt5-styleplugins,
